Adv Roll No,CRL,SC
254030032,32496,1174
252045006,32504,1175
252048369,32564,1176
252067192,32578,1177
252017108,32594,1178
251119126,32605,1179
255064503,32609,1180
252076216,32662,1181
255006411,32663,1182
256178159,32721,1183
257026366,32724,1184
252010061,32725,1185
251127040,32746,1187
252076081,32820,1190
252098138,32821,1191
255052052,32855,1192
251082028,32860,1193
251110118,32867,1194
256151007,32889,1195
256035179,32913,1196
251004245,32932,1197
256172210,32942,1198
251143613,32953,1199
254056235,32954,1200
252003177,32958,1201
254050302,33008,1203
257006163,33105,1207
256121204,33107,1208
257006208,33118,1209
256052014,33141,1210
256147012,33156,1211
252085173,33173,1213
256146454,33183,1214
252031145,33223,1216
251145385,33227,1217
252104315,33232,1218
255055104,33235,1219
255027124,33251,1220
251125174,33268,1221
255059072,33291,1222
251117551,33319,1223
252100112,33331,1224
252035126,33386,1225
253007080,33393,1226
251097044,33433,1227
251142150,33445,1228
252083243,33453,1229
252010393,33483,1230
252053321,33491,1231
252073336,33500,1232
257043232,33528,1233
252093269,33547,1234
254043371,33555,1235
253010007,33565,1236
251008042,33588,1237
255064237,33589,1238
252002087,33639,1239
251083069,33676,1240
251117180,33677,1241
251109395,33683,1242
254016429,33687,1243
256002062,33690,1244
254027133,33693,1245
255005287,33701,1246
254034097,33742,1247
252097060,33761,1248
256130034,33771,1249
255066395,33777,1250
253025113,33783,1251
256130105,33808,1253
251137106,33810,1254
252074083,33817,1255
257034189,33820,1256
251121267,33825,1257
257046026,33838,1259
252004406,33843,1260
252004401,33853,1261
