Adv Roll No,SC
251056011,1532
252055042,1533
254012401,1534
257013382,1535
255067381,1536
255015083,1537
257027440,1538
256047068,1539
251121221,1540
254064147,1541
251070102,1542
251047134,1543
253049444,1544
251145180,1545
252013485,1546
256165539,1547
254011068,1548
252081011,1549
257034248,1550
251143606,1551
255052025,1552
251014194,1553
256169368,1554
254064094,1555
253049253,1556
254019323,1557
251052208,1558
253035263,1559
251096185,1560
254026190,1561
251082122,1562
252100110,1563
254030235,1564
252087206,1565
252027058,1566
255053089,1567
253016294,1568
257032084,1569
252050270,1570
256128094,1571
251050535,1572
256068033,1573
256142060,1574
256166644,1575
255005423,1576
252003230,1577
256035284,1578
256046097,1579
251119082,1580
251067332,1581
251143101,1582
254005399,1583
252045186,1584
254022150,1585
251007383,1586
255004099,1587
254033323,1588
254056258,1589
256038104,1590
253013067,1591
251024068,1592
252008192,1593
252031096,1594
252102025,1595
256057109,1596
251143414,1597
251119191,1598
251073011,1599
257037251,1600
251142223,1601
256147411,1602
256036031,1603
251027029,1604
257039158,1605
256175098,1606
255051356,1607
254035053,1608
256020085,1609
251136168,1610
257050220,1611
251117357,1612
252059141,1613
254005259,1614
255018410,1615
254038318,1616
255041024,1617
254022403,1618
251121284,1619
257051047,1620
252063023,1621
251145176,1622
252012189,1623
255065124,1624
252023215,1625
251091475,1626
252005353,1627
256174305,1628
257046079,1629
256053215,1630
256135150,1631
256164197,1632
255066612,1633
252071310,1634
252005253,1635
253022724,1636
256152019,1637
256129250,1638
256112101,1639
256132050,1640
257039048,1641
257037120,1642
257014164,1643
252092055,1644
254049182,1645
252051357,1646
251030193,1647
252090021,1648
252011285,1649
251071682,1650
251145196,1651
254065015,1652
257005230,1653
254065002,1654
254011243,1655
252035244,1656
257034374,1657
251108025,1658
253011017,1659
256149026,1660
255063121,1661
252058103,1662
252053154,1663
256184096,1664
251146192,1665
257045452,1666
255055330,1667
256139089,1668
255064202,1669
256061313,1670
256095222,1671
256006101,1672
256170184,1673
251039135,1674
256006035,1675
252031303,1676
252025059,1677
253002238,1678
256168335,1679
255065105,1680
256035060,1681
257033126,1682
252038267,1683
251090157,1684
254032389,1685
256035118,1686
251124170,1687
256186078,1688
253023276,1689
251121188,1690
256060180,1691
254002445,1692
252077205,1693
251091395,1694
251089056,1695
253049263,1696
257045031,1697
257005421,1698
252058321,1699
257044012,1700
257022083,1701
254055343,1702
257004333,1703
